id,data,model,pre,in,post,true_positives,true_negatives,false_positives,false_negatives,accuracy,recall,specificity,precision,npv,f1-score,balanced_accuracy,roc_auc,pr_auc,mcc,log_loss,cohen_kappa_score,fbeta_score,jaccard_score,hamming_loss,statistical_parity_difference,equalized_odds_difference,equal_opportunity_difference,average_odds_difference,error_rate_difference,average_abs_odds_difference,average_predictive_value_difference,generalized_equalized_odds_difference,false_positive_rate_difference,false_discovery_rate_difference,false_negative_rate_difference,false_omission_rate_difference,true_positive_rate_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_group_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_theil_index,disparate_impact,error_rate_ratio,false_positive_rate_ratio,false_discovery_rate_ratio,false_negative_rate_ratio,false_omission_rate_ratio,generalized_entropy_index,differential_fairness_bias_amplification,tp_privileged,tp_unprivileged,tn_privileged,tn_unprivileged,fn_privileged,fn_unprivileged,fp_privileged,fp_unprivileged,accuracy_privileged,accuracy_unprivileged,recall_privileged,recall_unprivileged,specificity_privileged,specificity_unprivileged,precision_privileged,precision_unprivileged,npv_privileged,npv_unprivileged,selection_rate_privileged,selection_rate_unprivileged,false_positive_rate_privileged,false_positive_rate_unprivileged,false_negative_rate_privileged,false_negative_rate_unprivileged,false_discovery_rate_privileged,false_discovery_rate_uprivileged,false_omission_rate_privileged,false_omission_rate_uprivileged,error_rate_privileged,error_rate_unprivileged,ppv_privileged,ppv_unprivileged
45b65470-db4a-493b-a400-51fde047fabf,2025-09-14 21:24:57,decision_tree,none,none,none,1245,6475,329,996,0.853510226644555,0.5555555555555556,0.9516460905349794,0.7909783989834815,0.8666845134520145,0.6526867627785059,0.7536008230452675,0.8966945907609799,0.7352525241624958,0.5775532111935479,0.33664582110819596,0.5634335587922588,0.5907193015752514,0.48443579766536965,0.146489773355445,-0.14448056689729766,0.05260914434423655,-0.03795967663156896,-0.04528441048790276,-0.11192477599997874,0.04528441048790276,-0.040847974873878506,0.0,-0.05260914434423655,-0.030932971014492744,0.03795967663156902,-0.11262892076224978,-0.03795967663156896,0.023063130573234756,0.00026595399591903786,0.00026595399591903786,0.0002645068122910614,0.023063130573234756,0.0002645068122910614,0.3481174422133832,0.38964762440299355,0.2334096109839817,0.8551431601272534,1.0865940744492277,0.35562605333597697,0.08220252647053136,0.10788483075926925,1057.0,188.0,3895.0,2580.0,825.0,171.0,287.0,42.0,0.816622691292876,0.9285474672928548,0.5616365568544102,0.5236768802228412,0.9313725490196079,0.9839816933638444,0.7864583333333334,0.8173913043478261,0.8252118644067796,0.9378407851690295,0.22163588390501318,0.07715531700771554,0.06862745098039216,0.016018306636155607,0.4383634431455898,0.4763231197771588,0.21354166666666666,0.1826086956521739,0.17478813559322035,0.062159214830970554,0.183377308707124,0.07145253270714524,0.7864583333333334,0.8173913043478261
de52237f-fc2e-4c6d-b454-9359baef4e97,2025-09-14 21:25:04,decision_tree,reweighing,none,none,6,6800,4,2235,0.7524599226091764,0.002677376171352075,0.9994121105232217,0.6,0.7526286662977311,0.005330964015992892,0.5010447433472869,0.52284174256632,0.27026351451394415,0.027144297860773294,0.5859206102772618,0.0031365252350731287,0.0033429908624916425,0.0026726057906458797,0.24754007739082365,0.0008527512415925309,0.0015255530129672007,0.00012876718005795998,0.0008271600965125803,-0.1880959024569857,0.0008271600965125803,-0.49474569732753376,0.0,0.0015255530129672007,0.8,-0.00012876718005794263,-0.18949139465506748,0.00012876718005795998,0.11903928531465112,0.0070851757241114565,0.0070851757241114565,0.006904901022585706,0.11903928531465112,0.006904901022585706,2.0342167058034213,0.39232096297327584,inf,inf,0.999870889806676,0.38831733606017377,0.16448630123119687,-0.235761130406013,5.0,1.0,4182.0,2618.0,1877.0,358.0,0.0,4.0,0.6904683377308707,0.8785642401878564,0.002656748140276302,0.002785515320334262,1.0,0.9984744469870328,1.0,0.2,0.6902129064202014,0.8797043010752689,0.0008245382585751979,0.0016772895001677288,0.0,0.0015255530129672007,0.9973432518597237,0.9972144846796658,0.0,0.8,0.30978709357979867,0.12029569892473119,0.3095316622691293,0.1214357598121436,1.0,0.2
42244d43-04bf-4ae4-9308-f7d91c442231,2025-09-14 21:25:12,logistic_regression,none,none,none,1349,6341,463,892,0.8501934770591487,0.6019634091923248,0.9319517930629042,0.7444812362030905,0.876676344532006,0.6656797433999506,0.7669576011276145,0.9087556706675156,0.7735641657305017,0.5758866862070592,0.32131533095356246,0.5705384199825349,0.625927988121752,0.4988905325443787,0.1498065229408513,-0.17722383583274548,0.09985376784609512,-0.09985376784609512,-0.08759868647227509,-0.10836579117170408,0.08759868647227509,-0.036287528633022946,0.0,-0.07534360509845507,-0.024195642423813224,0.09985376784609512,-0.09677069968985912,-0.09985376784609512,0.0062684542409794835,1.9646759285626836e-05,1.9646759285626836e-05,1.9617187174570634e-05,0.0062684542409794835,1.9617187174570634e-05,0.31505077087968864,0.4158843042975881,0.22392375240950954,0.9064951651158548,1.2613696677139792,0.39501488858704215,0.08130841144156244,0.20775365124641665,1163.0,186.0,3776.0,2565.0,719.0,173.0,406.0,57.0,0.8144788918205804,0.9228446829922845,0.6179596174282678,0.5181058495821727,0.9029172644667623,0.9782608695652174,0.7412364563416188,0.7654320987654321,0.8400444938820912,0.9368151935719503,0.2587401055408971,0.08151626970815162,0.09708273553323768,0.021739130434782608,0.3820403825717322,0.4818941504178273,0.2587635436583811,0.2345679012345679,0.1599555061179088,0.06318480642804968,0.18552110817941958,0.0771553170077155,0.7412364563416188,0.7654320987654321
57b7cf10-0aec-418e-a1e3-6500fc928633,2025-09-14 21:25:19,logistic_regression,reweighing,none,none,0,6804,0,2241,0.7522388059701492,0.0,1.0,0.0,0.7522388059701492,0.0,0.5,0.5293284313686911,0.2644679330638964,0.0,0.5603916167474833,0.0,0.0,0.0,0.24776119402985075,0.0,0.0,0.0,0.0,-0.18992681441566162,0.0,-0.09496340720783075,0.0,0.0,0.0,0.0,-0.1899268144156615,0.0,0.11868137340051182,0.007042634196115859,0.007042634196115859,0.00686391554871963,0.11868137340051182,0.00686391554871963,,0.38803602411446764,,,1.0,0.38803602411446786,0.16468253968253957,-0.23576113040601387,0.0,0.0,4182.0,2622.0,1882.0,359.0,0.0,0.0,0.6896437994722955,0.8795706138879571,0.0,0.0,1.0,1.0,0.0,0.0,0.6896437994722955,0.8795706138879571,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31035620052770446,0.12042938611204294,0.3103562005277045,0.1204293861120429,0.0,0.0
c12ab000-857c-4a63-af44-20063d0209f2,2025-09-14 21:25:26,gaussian_nb,none,none,none,2125,3051,3753,116,0.5722498618021006,0.9482373940205265,0.44841269841269843,0.3615175229669956,0.9633722766024629,0.5234634807242271,0.6983250462166125,0.8153998842059728,0.5052023492843933,0.35898129342604695,11.693290454998031,0.2568646484152153,0.7158738714458968,0.3545211878545212,0.42775013819789937,-0.18225216388047794,0.12488468066804775,-0.04118625654566499,-0.08303546860685637,0.00043873954570672336,0.08303546860685637,-0.11760435705217645,0.0,-0.12488468066804775,0.208902848814157,0.04118625654566499,-0.026305865290195872,-0.04118625654566499,0.0025729505796316878,3.3100373426135193e-06,3.3100373426135193e-06,3.307984380317422e-06,0.0025729505796316878,3.307984380317422e-06,0.7432805756628994,1.0010260380274452,0.7917592764937098,1.3585832392922432,1.9119121743404883,0.4556233288770054,0.0676705626883178,-0.4582654998512261,1797.0,328.0,1674.0,1377.0,85.0,31.0,2508.0,1245.0,0.5723944591029023,0.5719557195571956,0.9548352816153028,0.9136490250696379,0.40028694404591103,0.5251716247139588,0.41742160278745644,0.20851875397329941,0.9516770892552586,0.9779829545454546,0.7099274406332454,0.5276752767527675,0.599713055954089,0.4748283752860412,0.04516471838469713,0.08635097493036212,0.5825783972125436,0.7914812460267006,0.04832291074474133,0.022017045454545456,0.4276055408970977,0.4280442804428044,0.41742160278745644,0.20851875397329941
e5b96c87-21d6-47e5-9191-3a53466ddb5f,2025-09-14 21:25:34,gaussian_nb,reweighing,none,none,2134,392,6412,107,0.27927031509121064,0.9522534582775547,0.05761316872427984,0.24970746548092676,0.7855711422845691,0.39566144433113937,0.5049333135009173,0.5558077236767305,0.2781459212334623,0.018656925362078552,9.299757590761082,0.005076972349543962,0.6093660765276985,0.2466196694787935,0.7207296849087894,-0.015782729936917983,0.015474404306568323,-0.009482888765877662,-0.012478646536222993,0.15886846908166852,0.012478646536222993,-0.18747111438064604,0.0,-0.015474404306568323,0.18985433221653558,0.009482888765877585,-0.1850878965447565,-0.009482888765877662,0.048234849851021354,0.0011633003700752874,0.0011633003700752874,0.0011504032312073269,0.048234849851021354,0.0011504032312073269,0.9833871768204355,1.2376951385421262,0.9836828142183387,1.2757818476801466,1.205135593763007,0.35538353272343426,0.040767180553639856,-0.6704803095962515,1795.0,339.0,216.0,176.0,87.0,20.0,3966.0,2446.0,0.3316292875989446,0.1727608185172761,0.9537725823591924,0.9442896935933147,0.05164992826398852,0.06712433257055683,0.311577851067523,0.12172351885098744,0.7128712871287128,0.8979591836734694,0.950032981530343,0.934250251593425,0.9483500717360115,0.9328756674294432,0.04622741764080765,0.055710306406685235,0.688422148932477,0.8782764811490126,0.2871287128712871,0.10204081632653061,0.6683707124010554,0.8272391814827239,0.311577851067523,0.12172351885098744
0a2b568a-6311-4ee0-aaf3-f571a05e1517,2025-09-14 21:25:54,neural_network,none,none,none,1368,6319,485,873,0.849861802100608,0.6104417670682731,0.9287184009406232,0.7382622773880194,0.878615127919911,0.6682950659501711,0.7695800840044482,0.9087345528170557,0.7745732812055897,0.5767111282840967,0.3207845571714256,0.5723908065856309,0.6323379865027272,0.5018341892883346,0.15013819789939192,-0.17347737296634183,0.08009762624363936,-0.08009762624363936,-0.07662788634289244,-0.10735941747160338,0.07662788634289244,-0.048819412239632654,0.0,-0.07315814644214554,-0.000436237771039516,0.08009762624363931,-0.09807506225030482,-0.08009762624363936,0.008078752858841515,3.263312387711998e-05,3.263312387711998e-05,3.256993960120738e-05,0.008078752858841515,3.256993960120738e-05,0.33796929536318643,0.42130888217973095,0.2645495951417004,0.9983336975524476,1.212614573470422,0.38097897944976855,0.08094459078180202,0.1376917465395564,1173.0,195.0,3766.0,2553.0,709.0,164.0,416.0,69.0,0.8144788918205804,0.9218383092921838,0.6232731137088204,0.5431754874651811,0.9005260640841702,0.9736842105263158,0.7382001258653241,0.7386363636363636,0.8415642458100558,0.9396393080603607,0.2620382585751979,0.08856088560885608,0.09947393591582974,0.02631578947368421,0.3767268862911796,0.4568245125348189,0.26179987413467587,0.26136363636363635,0.15843575418994413,0.060360691939639305,0.18552110817941958,0.0781616907078162,0.7382001258653241,0.7386363636363636
328f8ae1-9c47-4fef-9e58-a6e56df8a1e6,2025-09-14 21:26:17,neural_network,reweighing,none,none,5,6783,21,2236,0.7504698728579325,0.0022311468094600626,0.9969135802469136,0.19230769230769232,0.7520789444506043,0.004411116012351125,0.4995723635281868,0.5689934602870297,0.28261088224114617,-0.006896709714399579,0.5581723836976258,-0.0012792516245567764,0.0027808676307007787,0.0022104332449160036,0.24953012714206743,0.003718249883386337,0.007293846704892266,0.007293846704892266,0.005169466845481009,-0.18756168132561624,0.005169466845481009,-0.101485516662572,0.0,0.0030450869860697526,0.012499999999999956,-0.007293846704892304,-0.19047103332514398,0.007293846704892266,0.12054419821320765,0.007265451861432547,0.007265451861432547,0.0070785398653867735,0.12054419821320765,0.0070785398653867735,3.2547467292854746,0.39757731167450366,2.591819221967963,1.015625,0.9926983938837195,0.3866427469412651,0.16622406959220903,0.21622399333704334,2.0,3.0,4174.0,2609.0,1880.0,356.0,8.0,13.0,0.6886543535620053,0.8762160348876216,0.0010626992561105207,0.008356545961002786,0.9980870396939263,0.9950419527078566,0.2,0.1875,0.6894615130492237,0.8799325463743676,0.0016490765171503958,0.005367326400536733,0.001912960306073649,0.004958047292143402,0.9989373007438895,0.9916434540389972,0.8,0.8125,0.31053848695077635,0.12006745362563238,0.31134564643799467,0.12378396511237844,0.2,0.1875
4dc9ce88-2faa-4c04-abf3-7b508f11060e,2025-09-14 21:26:34,random_florest,none,none,none,1406,6299,505,835,0.8518518518518519,0.6273984828201695,0.9257789535567313,0.7357404500261643,0.8829548640313989,0.6772639691714837,0.7765887181884504,0.9030573269628255,0.7738694280207824,0.5850199037030829,0.3747922795894584,0.5819106747360049,0.6464367816091954,0.5120174799708667,0.14814814814814814,-0.18254165121406551,0.08104308866483469,-0.08038772241940217,-0.08071540554211842,-0.10989510080996712,0.08071540554211842,-0.03432508598787049,0.0,-0.08104308866483469,-0.0264128017607006,0.08038772241940212,-0.0950629737364417,-0.08038772241940217,0.003602908973442037,6.490476535454577e-06,6.490476535454577e-06,6.484845653015586e-06,0.003602908973442037,6.484845653015586e-06,0.3275014745066262,0.4039321186836846,0.23146894150490097,0.9014161639498567,1.22347074386014,0.3796333560301338,0.07907311567390767,0.16915047862147814,1205.0,201.0,3741.0,2558.0,677.0,158.0,441.0,64.0,0.8156332453825857,0.9255283461925529,0.6402763018065888,0.5598885793871866,0.8945480631276901,0.9755911517925248,0.7320777642770352,0.7584905660377359,0.8467632412856496,0.9418262150220913,0.27143799472295516,0.08889634350888963,0.1054519368723099,0.02440884820747521,0.35972369819341127,0.4401114206128134,0.26792223572296475,0.24150943396226415,0.15323675871435039,0.05817378497790869,0.18436675461741425,0.07447165380744714,0.7320777642770352,0.7584905660377359
3cfb2499-c18c-4cf5-bb7d-56a7c46627c6,2025-09-14 21:26:54,random_florest,reweighing,none,none,101,6462,342,2140,0.7255942509673853,0.04506916555109326,0.9497354497354498,0.22799097065462753,0.7512206463613114,0.0752608047690015,0.49740230764327154,0.5050618569384994,0.25119992778578387,-0.010392480318618887,0.6191920129502948,-0.007107540921654776,0.05368342723503774,0.03910181958962447,0.2744057490326147,-0.015512051258675212,0.02713139284646512,-0.02713139284646512,-0.021258029370252972,-0.18013336885587616,0.021258029370252972,-0.20169542236177257,0.0,-0.01538466589404082,0.2139713679745493,0.027131392846465152,-0.1894194767489958,-0.02713139284646512,0.10232589821627865,0.005235294722884108,0.005235294722884108,0.005118822025554434,0.10232589821627865,0.005118822025554434,0.7132162230713217,0.46031188303259235,0.7262184137494523,1.2986493987049028,1.028541800635577,0.39267181742188934,0.18295171944314495,-0.61037547455013,93.0,8.0,3947.0,2515.0,1789.0,351.0,235.0,107.0,0.6662269129287599,0.8463602817846361,0.049415515409139216,0.022284122562674095,0.9438067910090866,0.9591914569031273,0.28353658536585363,0.06956521739130435,0.6881101813110181,0.8775296580600139,0.05408970976253298,0.03857765850385777,0.056193208990913436,0.04080854309687262,0.9505844845908608,0.9777158774373259,0.7164634146341463,0.9304347826086956,0.31188981868898186,0.12247034193998604,0.3337730870712401,0.15363971821536393,0.28353658536585363,0.06956521739130435
efb12ca9-23ab-42fc-a196-753541e0711e,2025-09-14 21:38:24,svm,none,none,none,1248,6425,379,993,0.8483139856274184,0.5568942436412316,0.9442974720752498,0.7670559311616472,0.8661364249123753,0.6452947259565667,0.7505958578582408,0.8993466845368276,0.758661115832564,0.5633389417742223,0.3541915652624988,0.5518953922109626,0.5891794920215278,0.4763358778625954,0.15168601437258153,-0.15322067243819476,0.0826729698447985,-0.0826729698447985,-0.06958575415624113,-0.10666593128512236,0.06958575415624113,-0.056832435968028214,0.0,-0.05649853846768377,0.0072048800224082665,0.0826729698447986,-0.10645999191364816,-0.0826729698447985,0.018510588875139716,0.0001713209502522231,0.0001713209502522231,0.0001705691648447474,0.018510588875139716,0.0001705691648447474,0.334910409688466,0.42910661313946874,0.2707503460745261,1.0310654857756307,1.1923245108132399,0.38584822959085785,0.08464016528797035,0.146547560079604,1073.0,175.0,3858.0,2567.0,809.0,184.0,324.0,55.0,0.8131596306068601,0.9198255618919825,0.5701381509032943,0.48746518105849584,0.9225251076040172,0.979023646071701,0.7680744452397996,0.7608695652173914,0.8266552389115063,0.9331152308251545,0.23037598944591028,0.07715531700771554,0.07747489239598278,0.020976353928299007,0.4298618490967056,0.5125348189415042,0.23192555476020044,0.2391304347826087,0.17334476108849367,0.06688476917484551,0.18684036939313986,0.0801744381080175,0.7680744452397996,0.7608695652173914
6821596e-c8e2-40f1-8562-1e8af6c25722,2025-09-14 22:00:45,svm,reweighing,none,none,0,6804,0,2241,0.7522388059701492,0.0,1.0,0.0,0.7522388059701492,0.0,0.5,0.4923456973756939,0.2351800209114751,0.0,0.5602830919586931,0.0,0.0,0.0,0.24776119402985075,0.0,0.0,0.0,0.0,-0.18992681441566162,0.0,-0.09496340720783075,0.0,0.0,0.0,0.0,-0.1899268144156615,0.0,0.11868137340051182,0.007042634196115859,0.007042634196115859,0.00686391554871963,0.11868137340051182,0.00686391554871963,,0.38803602411446764,,,1.0,0.38803602411446786,0.16468253968253957,-0.23576113040601387,0.0,0.0,4182.0,2622.0,1882.0,359.0,0.0,0.0,0.6896437994722955,0.8795706138879571,0.0,0.0,1.0,1.0,0.0,0.0,0.6896437994722955,0.8795706138879571,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31035620052770446,0.12042938611204294,0.3103562005277045,0.1204293861120429,0.0,0.0
c63273d3-b82b-4d7f-bf23-2713e732ef10,2025-09-14 22:00:54,xgboost,none,none,none,1463,6411,393,778,0.8705362078496407,0.6528335564480143,0.9422398589065256,0.7882543103448276,0.8917791069689804,0.7141811081278985,0.7975367076772699,0.9306812133241307,0.8373758820054258,0.6361366269883748,0.27670440244131006,0.6314492967392866,0.6760628465804066,0.5554290053151101,0.1294637921503593,-0.16796770930050386,0.06046672729481366,-0.041020487302371955,-0.050743607298592806,-0.09753703977433159,0.050743607298592806,-0.03670049129015946,0.0,-0.06046672729481366,-0.018904788112272974,0.04102048730237201,-0.09230577069259195,-0.041020487302371955,0.010780957399175976,5.8114521221423606e-05,5.8114521221423606e-05,5.796478814611541e-05,0.010780957399175976,5.796478814611541e-05,0.35534418405173696,0.39646468449842176,0.2540653287701748,0.9118891881492882,1.1204376865882435,0.3542916134390292,0.06962721813013042,0.08764392818033584,1241.0,222.0,3843.0,2568.0,641.0,137.0,339.0,54.0,0.8383905013192612,0.9359275410935928,0.6594048884165781,0.6183844011142061,0.9189383070301291,0.9794050343249427,0.7854430379746835,0.8043478260869565,0.8570472792149866,0.9493530499075785,0.2605540897097625,0.09258638040925864,0.08106169296987087,0.020594965675057208,0.3405951115834219,0.3816155988857939,0.21455696202531646,0.1956521739130435,0.1429527207850134,0.05064695009242144,0.16160949868073882,0.06407245890640723,0.7854430379746835,0.8043478260869565
4e85a908-c12d-4d52-9bcf-611c1f6f656e,2025-09-14 22:01:04,xgboost,reweighing,none,none,14,6776,28,2227,0.7506909894969597,0.006247211066488175,0.9958847736625515,0.3333333333333333,0.7526380095523715,0.012264564169951819,0.5010659923645198,0.4927163090929267,0.25423417628573225,0.013538448587905157,0.5735873540032683,0.0031774810545330823,0.007772596047079724,0.00617011899515205,0.24930901050304036,-0.0004213691993000526,0.002511700052394922,0.002511700052394922,0.0010107109480736068,-0.188732962677432,0.0015009891043213154,-0.16930993871328903,0.0,-0.0004902781562477086,0.14854111405835546,-0.002511700052394872,-0.19007876336822266,0.002511700052394922,0.11769157720733577,0.006925653672775137,0.006925653672775137,0.00675119353106833,0.11769157720733577,0.00675119353106833,0.9118902474291201,0.3941362172176031,0.886092041698449,1.2393162393162394,0.9974735331381042,0.38689185626551376,0.16600845238543302,-0.8739412046115571,11.0,3.0,4164.0,2612.0,1871.0,356.0,18.0,10.0,0.6884894459102903,0.8772224085877223,0.005844845908607864,0.008356545961002786,0.9956958393113343,0.996186117467582,0.3793103448275862,0.23076923076923078,0.6899751449875725,0.8800539083557951,0.0047823218997361475,0.004360952700436095,0.00430416068866571,0.0038138825324180014,0.9941551540913921,0.9916434540389972,0.6206896551724138,0.7692307692307693,0.3100248550124275,0.11994609164420485,0.31151055408970973,0.12277759141227773,0.3793103448275862,0.23076923076923078
4d8a259f-672c-44d0-800f-1d80211bdd22,2025-09-15 21:36:11,random_florest,none,none,none,1406,6299,505,835,0.8518518518518519,0.6273984828201695,0.9257789535567313,0.7357404500261643,0.8829548640313989,0.6772639691714837,0.7765887181884504,0.9030573269628255,0.7738694280207824,0.5850199037030829,0.3747922795894584,0.5819106747360049,0.6464367816091954,0.5120174799708667,0.14814814814814814,-0.18254165121406551,0.08104308866483469,-0.08038772241940217,-0.08071540554211842,-0.10989510080996712,0.08071540554211842,-0.03432508598787049,0.0,-0.08104308866483469,-0.0264128017607006,0.08038772241940212,-0.0950629737364417,-0.08038772241940217,0.003602908973442037,6.490476535454577e-06,6.490476535454577e-06,6.484845653015586e-06,0.003602908973442037,6.484845653015586e-06,0.3275014745066262,0.4039321186836846,0.23146894150490097,0.9014161639498567,1.22347074386014,0.3796333560301338,0.07907311567390767,0.16915047862147814,1205.0,201.0,3741.0,2558.0,677.0,158.0,441.0,64.0,0.8156332453825857,0.9255283461925529,0.6402763018065888,0.5598885793871866,0.8945480631276901,0.9755911517925248,0.7320777642770352,0.7584905660377359,0.8467632412856496,0.9418262150220913,0.27143799472295516,0.08889634350888963,0.1054519368723099,0.02440884820747521,0.35972369819341127,0.4401114206128134,0.26792223572296475,0.24150943396226415,0.15323675871435039,0.05817378497790869,0.18436675461741425,0.07447165380744714,0.7320777642770352,0.7584905660377359
ef6f8b1d-3bf7-4ef4-948e-f6d53ebcc88a,2025-09-15 21:39:52,random_florest,none,none,none,1406,6299,505,835,0.8518518518518519,0.6273984828201695,0.9257789535567313,0.7357404500261643,0.8829548640313989,0.6772639691714837,0.7765887181884504,0.9030573269628255,0.7738694280207824,0.5850199037030829,0.3747922795894584,0.5819106747360049,0.6464367816091954,0.5120174799708667,0.14814814814814814,-0.18254165121406551,0.08104308866483469,-0.08038772241940217,-0.08071540554211842,-0.10989510080996712,0.08071540554211842,-0.03432508598787049,0.0,-0.08104308866483469,-0.0264128017607006,0.08038772241940212,-0.0950629737364417,-0.08038772241940217,0.003602908973442037,6.490476535454577e-06,6.490476535454577e-06,6.484845653015586e-06,0.003602908973442037,6.484845653015586e-06,0.3275014745066262,0.4039321186836846,0.23146894150490097,0.9014161639498567,1.22347074386014,0.3796333560301338,0.07907311567390767,0.16915047862147814,1205.0,201.0,3741.0,2558.0,677.0,158.0,441.0,64.0,0.8156332453825857,0.9255283461925529,0.6402763018065888,0.5598885793871866,0.8945480631276901,0.9755911517925248,0.7320777642770352,0.7584905660377359,0.8467632412856496,0.9418262150220913,0.27143799472295516,0.08889634350888963,0.1054519368723099,0.02440884820747521,0.35972369819341127,0.4401114206128134,0.26792223572296475,0.24150943396226415,0.15323675871435039,0.05817378497790869,0.18436675461741425,0.07447165380744714,0.7320777642770352,0.7584905660377359
