id,data,time_execution,model,pre,in,post,true_positives,true_negatives,false_positives,false_negatives,accuracy,recall,specificity,precision,npv,f1-score,balanced_accuracy,roc_auc,pr_auc,mcc,log_loss,cohen_kappa_score,fbeta_score,jaccard_score,hamming_loss,statistical_parity_difference,equalized_odds_difference,equal_opportunity_difference,average_odds_difference,error_rate_difference,average_abs_odds_difference,average_predictive_value_difference,generalized_equalized_odds_difference,false_positive_rate_difference,false_discovery_rate_difference,false_negative_rate_difference,false_omission_rate_difference,true_positive_rate_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_group_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_theil_index,disparate_impact,error_rate_ratio,false_positive_rate_ratio,false_discovery_rate_ratio,false_negative_rate_ratio,false_omission_rate_ratio,generalized_entropy_index,differential_fairness_bias_amplification,tp_privileged,tp_unprivileged,tn_privileged,tn_unprivileged,fn_privileged,fn_unprivileged,fp_privileged,fp_unprivileged,accuracy_privileged,accuracy_unprivileged,recall_privileged,recall_unprivileged,specificity_privileged,specificity_unprivileged,precision_privileged,precision_unprivileged,npv_privileged,npv_unprivileged,selection_rate_privileged,selection_rate_unprivileged,false_positive_rate_privileged,false_positive_rate_unprivileged,false_negative_rate_privileged,false_negative_rate_unprivileged,false_discovery_rate_privileged,false_discovery_rate_uprivileged,false_omission_rate_privileged,false_omission_rate_uprivileged,error_rate_privileged,error_rate_unprivileged,ppv_privileged,ppv_unprivileged
98065b2a-6840-478e-b467-2609d63393d4,2025-09-20 21:20:07,64.62071442604065,xgboost,disparate_impact_remover,exponentiated_gradient,equalized_odds_postprocessing,122,19,42,17,0.705,0.8776978417266187,0.3114754098360656,0.7439024390243902,0.5277777777777778,0.8052805280528051,0.5945866257813421,0.6591579195659866,0.7707151260123977,0.22670383763342236,9.010913347279288,0.21375266524520264,0.8472222222222222,0.6740331491712708,0.295,-0.0025078369905955356,0.008205128205128198,-0.008205128205128198,-0.004797008547008541,-0.005642633228840177,0.004797008547008541,0.0272606478488831,0.0,-0.001388888888888884,-0.01605975723622785,0.008205128205128198,0.038461538461538436,-0.008205128205128198,0.008709439059328607,3.792716436407939e-05,3.792716436407939e-05,3.803910621937419e-05,0.008709439059328607,3.803910621937419e-05,0.9969442322383499,0.9809725158562366,0.997983870967742,0.9383512544802867,1.0683760683760684,1.0833333333333333,0.11037037037037034,-0.023611558932694177,88.0,34.0,14.0,5.0,12.0,5.0,31.0,11.0,0.7034482758620689,0.7090909090909091,0.88,0.8717948717948718,0.3111111111111111,0.3125,0.7394957983193278,0.7555555555555555,0.5384615384615384,0.5,0.8206896551724138,0.8181818181818182,0.6888888888888889,0.6875,0.12,0.1282051282051282,0.2605042016806723,0.24444444444444444,0.46153846153846156,0.5,0.29655172413793107,0.2909090909090909,0.7394957983193278,0.7555555555555555
2e9cb07a-3dcc-429f-9c4c-6ac68d4b513b,2025-09-20 21:21:37,68.67844295501709,xgboost,disparate_impact_remover,exponentiated_gradient,none,128,28,33,11,0.78,0.920863309352518,0.45901639344262296,0.7950310559006211,0.717948717948718,0.8533333333333334,0.6899398513975705,0.6899398513975705,0.7871149291746726,0.4414415069177405,7.929603745605773,0.4226479464637186,0.8926080892608089,0.7441860465116279,0.22,-0.006896551724137834,0.05555555555555558,0.003076923076923088,-0.026239316239316246,-0.02758620689655178,0.029316239316239334,0.009435009435009467,0.0,-0.05555555555555558,-0.03185703185703184,-0.0030769230769230743,-0.012987012987012991,0.003076923076923088,0.010592561018073541,5.6101174460805594e-05,5.6101174460805594e-05,5.6302941031721145e-05,0.010592561018073541,5.6302941031721145e-05,0.9914529914529916,0.8787878787878786,0.8999999999999999,0.850909090909091,0.9615384615384616,0.9545454545454545,0.08436815193571938,-0.005399135009396039,92.0,36.0,20.0,8.0,8.0,3.0,25.0,8.0,0.7724137931034483,0.8,0.92,0.9230769230769231,0.4444444444444444,0.5,0.7863247863247863,0.8181818181818182,0.7142857142857143,0.7272727272727273,0.8068965517241379,0.8,0.5555555555555556,0.5,0.08,0.07692307692307693,0.21367521367521367,0.18181818181818182,0.2857142857142857,0.2727272727272727,0.22758620689655173,0.19999999999999996,0.7863247863247863,0.8181818181818182
84c41b3d-f9a2-4643-97a7-264d05e15f65,2025-09-20 21:23:11,80.80517172813416,xgboost,disparate_impact_remover,exponentiated_gradient,reject_option_classification,126,27,34,13,0.765,0.9064748201438849,0.4426229508196721,0.7875,0.675,0.842809364548495,0.6745488854817785,0.6745488854817785,0.7788489208633093,0.4018180173544302,8.47025854644253,0.3864229765013054,0.8798882681564246,0.7283236994219653,0.235,0.025078369905956133,0.09166666666666667,-0.012564102564102564,0.039551282051282055,0.026959247648902784,0.05211538461538462,0.04323671497584544,0.0,0.09166666666666667,0.013526570048309178,0.012564102564102564,0.10000000000000003,-0.012564102564102564,0.0022801052481671528,2.5994399713596962e-06,2.5994399713596962e-06,2.597453413378725e-06,0.0022801052481671528,2.597453413378725e-06,1.0316205533596838,1.1184573002754818,1.171875,1.0648148148148149,1.1396011396011396,1.3333333333333335,0.09171597633136092,0.05199948139951793,91.0,35.0,21.0,6.0,9.0,4.0,24.0,10.0,0.7724137931034483,0.7454545454545455,0.91,0.8974358974358975,0.4666666666666667,0.375,0.7913043478260869,0.7777777777777778,0.7,0.6,0.7931034482758621,0.8181818181818182,0.5333333333333333,0.625,0.09,0.10256410256410256,0.20869565217391303,0.2222222222222222,0.3,0.4,0.22758620689655173,0.2545454545454545,0.7913043478260869,0.7777777777777778
9f3a2b4a-538d-4b3e-b1d8-b470eaafe5e9,2025-09-20 21:23:29,3.399970769882202,xgboost,disparate_impact_remover,grid_search,equalized_odds_postprocessing,120,29,32,19,0.745,0.8633093525179856,0.47540983606557374,0.7894736842105263,0.6041666666666666,0.8247422680412372,0.6693595942917796,0.8026889963439084,0.8999069646073766,0.3651486549925529,0.545089038221516,0.3602609131961867,0.847457627118644,0.7017543859649122,0.255,0.005015673981191293,0.033333333333333326,0.01179487179487182,-0.010769230769230753,-0.025705329153605017,0.022564102564102573,0.006160506160506146,0.0,-0.033333333333333326,-0.027705627705627706,-0.01179487179487182,-0.015384615384615385,0.01179487179487182,0.006045787676981965,1.827577431757349e-05,1.827577431757349e-05,1.8313117969292225e-05,0.006045787676981965,1.8313117969292225e-05,1.006611570247934,0.9019138755980861,0.9375,0.873015873015873,0.9157509157509156,0.9615384615384616,0.11054905331834512,-0.047508934013384074,86.0,34.0,21.0,8.0,14.0,5.0,24.0,8.0,0.7379310344827587,0.7636363636363637,0.86,0.8717948717948718,0.4666666666666667,0.5,0.7818181818181819,0.8095238095238095,0.6,0.6153846153846154,0.7586206896551724,0.7636363636363637,0.5333333333333333,0.5,0.14,0.1282051282051282,0.21818181818181817,0.19047619047619047,0.4,0.38461538461538464,0.26206896551724135,0.23636363636363633,0.7818181818181819,0.8095238095238095
ddb90261-6aa1-4a72-9bbc-2963ed64def6,2025-09-20 21:23:49,3.183013677597046,xgboost,disparate_impact_remover,grid_search,none,125,31,30,14,0.78,0.8992805755395683,0.5081967213114754,0.8064516129032258,0.6888888888888889,0.8503401360544217,0.7037386484255219,0.8026889963439084,0.8999069646073766,0.44926607783260303,0.545089038221516,0.43984723106301715,0.8790436005625879,0.7396449704142012,0.22,-0.01567398119122254,0.038205128205128225,-0.038205128205128225,-0.013547008547008549,0.022570532915360486,0.024658119658119676,0.0537897298129599,0.0,0.011111111111111127,-0.004214075010535195,0.0382051282051282,0.10336538461538464,-0.038205128205128225,0.01451573176552449,0.00010535323434432836,0.00010535323434432836,0.00010587453062636865,0.01451573176552449,0.00010587453062636865,0.9798873692679003,1.1055718475073313,1.0227272727272727,0.9783549783549783,1.4245014245014245,1.3675213675213675,0.09156378600823036,0.023607513004696656,91.0,34.0,23.0,8.0,9.0,5.0,22.0,8.0,0.7862068965517242,0.7636363636363637,0.91,0.8717948717948718,0.5111111111111111,0.5,0.8053097345132744,0.8095238095238095,0.71875,0.6153846153846154,0.7793103448275862,0.7636363636363637,0.4888888888888889,0.5,0.09,0.1282051282051282,0.19469026548672566,0.19047619047619047,0.28125,0.38461538461538464,0.21379310344827585,0.23636363636363633,0.8053097345132744,0.8095238095238095
a330baa8-b29b-4311-9b44-b1b864038b5a,2025-09-20 21:24:16,12.254970788955688,xgboost,disparate_impact_remover,grid_search,reject_option_classification,114,43,18,25,0.785,0.8201438848920863,0.7049180327868853,0.8636363636363636,0.6323529411764706,0.8413284132841329,0.7625309588394857,0.8026889963439084,0.8999069646073766,0.5103186215819355,0.545089038221516,0.5086837294332724,0.8284883720930233,0.7261146496815286,0.215,0.04263322884012544,0.10833333333333334,0.0005128205128205332,0.054423076923076935,0.02946708463949843,0.054423076923076935,0.014294183518872211,0.0,0.10833333333333334,0.030235162374020158,-0.0005128205128205054,0.05882352941176466,0.0005128205128205332,0.010733690624542597,5.7606057211696816e-05,5.7606057211696816e-05,5.740054793708527e-05,0.010733690624542597,5.740054793708527e-05,1.0657640232108319,1.1424242424242423,1.40625,1.236842105263158,0.9971509971509972,1.1666666666666665,0.11478160487529879,0.06502898168985194,82.0,32.0,33.0,10.0,18.0,7.0,12.0,6.0,0.7931034482758621,0.7636363636363637,0.82,0.8205128205128205,0.7333333333333333,0.625,0.8723404255319149,0.8421052631578947,0.6470588235294118,0.5882352941176471,0.6482758620689655,0.6909090909090909,0.26666666666666666,0.375,0.18,0.1794871794871795,0.1276595744680851,0.15789473684210525,0.35294117647058826,0.4117647058823529,0.2068965517241379,0.23636363636363633,0.8723404255319149,0.8421052631578947
a8e9329c-2e29-44b4-aa6e-b7ccdaba1f84,2025-09-20 21:24:32,2.5603790283203125,xgboost,disparate_impact_remover,none,equalized_odds_postprocessing,123,32,29,16,0.775,0.8848920863309353,0.5245901639344263,0.8092105263157895,0.6666666666666666,0.8453608247422679,0.7047411251326807,0.8026889963439084,0.8999069646073766,0.4414331929436433,0.545089038221516,0.43552433517310585,0.8686440677966102,0.7321428571428571,0.225,0.005015673981191293,0.033333333333333326,-0.018205128205128207,0.0075641025641025594,0.01567398119122254,0.025769230769230766,0.035381285381285404,0.0,0.033333333333333326,-0.00043290043290045155,0.018205128205128193,0.07032967032967036,-0.018205128205128207,0.006045787676981965,1.827577431757349e-05,1.827577431757349e-05,1.8313117969292225e-05,0.006045787676981965,1.8313117969292225e-05,1.006611570247934,1.071022727272727,1.0714285714285714,0.9977324263038547,1.1655011655011653,1.223776223776224,0.09732416407679252,-0.047508934013384074,89.0,34.0,24.0,8.0,11.0,5.0,21.0,8.0,0.7793103448275862,0.7636363636363637,0.89,0.8717948717948718,0.5333333333333333,0.5,0.8090909090909091,0.8095238095238095,0.6857142857142857,0.6153846153846154,0.7586206896551724,0.7636363636363637,0.4666666666666667,0.5,0.11,0.1282051282051282,0.19090909090909092,0.19047619047619047,0.3142857142857143,0.38461538461538464,0.2206896551724138,0.23636363636363633,0.8090909090909091,0.8095238095238095
5bba0513-b344-4ecf-9b28-ab5fc5b0fa06,2025-09-20 21:24:48,1.6411185264587402,xgboost,disparate_impact_remover,none,none,125,31,30,14,0.78,0.8992805755395683,0.5081967213114754,0.8064516129032258,0.6888888888888889,0.8503401360544217,0.7037386484255219,0.8026889963439084,0.8999069646073766,0.44926607783260303,0.545089038221516,0.43984723106301715,0.8790436005625879,0.7396449704142012,0.22,-0.01567398119122254,0.038205128205128225,-0.038205128205128225,-0.013547008547008549,0.022570532915360486,0.024658119658119676,0.0537897298129599,0.0,0.011111111111111127,-0.004214075010535195,0.0382051282051282,0.10336538461538464,-0.038205128205128225,0.01451573176552449,0.00010535323434432836,0.00010535323434432836,0.00010587453062636865,0.01451573176552449,0.00010587453062636865,0.9798873692679003,1.1055718475073313,1.0227272727272727,0.9783549783549783,1.4245014245014245,1.3675213675213675,0.09156378600823036,0.023607513004696656,91.0,34.0,23.0,8.0,9.0,5.0,22.0,8.0,0.7862068965517242,0.7636363636363637,0.91,0.8717948717948718,0.5111111111111111,0.5,0.8053097345132744,0.8095238095238095,0.71875,0.6153846153846154,0.7793103448275862,0.7636363636363637,0.4888888888888889,0.5,0.09,0.1282051282051282,0.19469026548672566,0.19047619047619047,0.28125,0.38461538461538464,0.21379310344827585,0.23636363636363633,0.8053097345132744,0.8095238095238095
1f3b1055-9af0-4870-8563-03b77d940496,2025-09-20 21:25:09,6.253603935241699,xgboost,disparate_impact_remover,none,reject_option_classification,114,43,18,25,0.785,0.8201438848920863,0.7049180327868853,0.8636363636363636,0.6323529411764706,0.8413284132841329,0.7625309588394857,0.8026889963439084,0.8999069646073766,0.5103186215819355,0.545089038221516,0.5086837294332724,0.8284883720930233,0.7261146496815286,0.215,0.04263322884012544,0.10833333333333334,0.0005128205128205332,0.054423076923076935,0.02946708463949843,0.054423076923076935,0.014294183518872211,0.0,0.10833333333333334,0.030235162374020158,-0.0005128205128205054,0.05882352941176466,0.0005128205128205332,0.010733690624542597,5.7606057211696816e-05,5.7606057211696816e-05,5.740054793708527e-05,0.010733690624542597,5.740054793708527e-05,1.0657640232108319,1.1424242424242423,1.40625,1.236842105263158,0.9971509971509972,1.1666666666666665,0.11478160487529879,0.06502898168985194,82.0,32.0,33.0,10.0,18.0,7.0,12.0,6.0,0.7931034482758621,0.7636363636363637,0.82,0.8205128205128205,0.7333333333333333,0.625,0.8723404255319149,0.8421052631578947,0.6470588235294118,0.5882352941176471,0.6482758620689655,0.6909090909090909,0.26666666666666666,0.375,0.18,0.1794871794871795,0.1276595744680851,0.15789473684210525,0.35294117647058826,0.4117647058823529,0.2068965517241379,0.23636363636363633,0.8723404255319149,0.8421052631578947
0f546e3f-1360-4dbe-9541-a7d2db664878,2025-09-20 21:26:10,45.557138204574585,xgboost,none,exponentiated_gradient,equalized_odds_postprocessing,118,27,34,21,0.725,0.8489208633093526,0.4426229508196721,0.7763157894736842,0.5625,0.8109965635738833,0.6457719070645124,0.6755513621889373,0.7795777390826193,0.3142922963584926,8.650476813388115,0.3100852985449072,0.8333333333333334,0.6820809248554913,0.275,0.005015673981191293,0.00694444444444442,-0.0038461538461538325,0.0015491452991452936,-0.0031347962382445305,0.005395299145299126,0.022977022977023004,0.0,0.00694444444444442,-0.012987012987012991,0.0038461538461538602,0.032967032967033016,-0.0038461538461538325,0.006045787676981965,1.827577431757349e-05,1.827577431757349e-05,1.8313117969292225e-05,0.006045787676981965,1.8313117969292225e-05,1.006611570247934,0.9886363636363635,1.0125,0.9428571428571428,1.0256410256410258,1.076923076923077,0.11936564614604686,-0.047508934013384074,85.0,33.0,20.0,7.0,15.0,6.0,25.0,9.0,0.7241379310344828,0.7272727272727273,0.85,0.8461538461538461,0.4444444444444444,0.4375,0.7727272727272727,0.7857142857142857,0.5714285714285714,0.5384615384615384,0.7586206896551724,0.7636363636363637,0.5555555555555556,0.5625,0.15,0.15384615384615385,0.22727272727272727,0.21428571428571427,0.42857142857142855,0.46153846153846156,0.27586206896551724,0.2727272727272727,0.7727272727272727,0.7857142857142857
8c7458fa-d750-42bb-86c4-6721d080f3f4,2025-09-20 21:27:06,48.82957124710083,xgboost,none,exponentiated_gradient,none,123,30,31,16,0.765,0.8848920863309353,0.4918032786885246,0.7987012987012987,0.6521739130434783,0.8395904436860068,0.6883476825097299,0.6883476825097299,0.7867644585630197,0.41211964581468935,8.47025854644253,0.4046110970357233,0.8661971830985915,0.7235294117647059,0.235,-0.084012539184953,0.12512820512820522,-0.12512820512820522,-0.06811965811965814,0.07711598746081505,0.06811965811965814,0.11410256410256406,0.0,-0.011111111111111072,0.00512820512820511,0.1251282051282051,0.23333333333333334,-0.12512820512820522,0.0429684950268401,0.0009231457824357914,0.0009231457824357914,0.0009370670255848096,0.0429684950268401,0.0009370670255848096,0.8940711462450592,1.3607038123167157,0.9782608695652175,1.0256410256410255,2.564102564102564,1.875,0.099242833964305,0.28779161418917365,92.0,31.0,22.0,8.0,8.0,8.0,23.0,8.0,0.7862068965517242,0.7090909090909091,0.92,0.7948717948717948,0.4888888888888889,0.5,0.8,0.7948717948717948,0.7333333333333333,0.5,0.7931034482758621,0.7090909090909091,0.5111111111111111,0.5,0.08,0.20512820512820512,0.2,0.20512820512820512,0.26666666666666666,0.5,0.21379310344827585,0.2909090909090909,0.8,0.7948717948717948
8fd49c8c-2c25-4324-80a5-ffb288d21d5b,2025-09-20 21:28:05,47.246915102005005,xgboost,none,exponentiated_gradient,reject_option_classification,123,31,30,16,0.77,0.8848920863309353,0.5081967213114754,0.803921568627451,0.6595744680851063,0.8424657534246576,0.6965444038212054,0.6965444038212054,0.7913838341091832,0.4268431848095061,8.290040279496946,0.4201437035169545,0.8674188998589563,0.727810650887574,0.23,-0.026959247648902784,0.09583333333333333,-0.08948717948717955,0.0031730769230768896,0.084012539184953,0.09266025641025644,0.09763026607538805,0.0,0.09583333333333333,0.03201219512195122,0.08948717948717949,0.2272727272727273,-0.08948717948717955,0.019360769070429756,0.0001874196894992547,0.0001874196894992547,0.00018866268493602338,0.019360769070429756,0.00018866268493602338,0.9650974025974026,1.4060606060606062,1.2053571428571428,1.170731707317073,1.9943019943019944,1.8333333333333335,0.09830552886715001,0.06476112749151208,91.0,32.0,24.0,7.0,9.0,7.0,21.0,9.0,0.7931034482758621,0.7090909090909091,0.91,0.8205128205128205,0.5333333333333333,0.4375,0.8125,0.7804878048780488,0.7272727272727273,0.5,0.7724137931034483,0.7454545454545455,0.4666666666666667,0.5625,0.09,0.1794871794871795,0.1875,0.21951219512195122,0.2727272727272727,0.5,0.2068965517241379,0.2909090909090909,0.8125,0.7804878048780488
